No,Type,Refit,Concentration,Grid,Features,Layer,X,Y,Material,MXL(mm),MXW(mm),MXT(mm),Weight(g),Mat_no,Memo,MF
1 ,FL,,,X-19（E）,,,,,SH,20 ,25 ,4 ,2 ,,,0 
3 ,CH,,,I-25（E）,,埋土,,,SH,14 ,18 ,5 ,1 ,13 ,,0 
4 ,CH,,,I-25（E）,,,,,SH,17 ,19 ,2 ,1 ,5 ,,0 
6 ,BL,,,I-25（E）,,埋土,,,SH,32 ,16 ,3 ,2 ,,,0 
7 ,RF,1 ,,I-40（E）,,埋土,,,SH,15 ,22 ,5 ,1 ,1 ,,1 
9 ,FL,,,P-21（E）,,埋土,,,?,32 ,30 ,8 ,8 ,,,0 
10 ,FL,,,P-21（E）,,埋土,,,SH,30 ,20 ,4 ,2 ,,,0 
11 ,FL,,,P-22（E）,,埋土,,,SH,25 ,18 ,3 ,1 ,,,0 
12 ,CH,,,G-30（E）,,埋土,,,SH,18 ,12 ,2 ,0 ,,,0 
13 ,CH,,,L-37（E）,,埋土,,,SH,10 ,13 ,2 ,0 ,,,0 
14 ,FL,,,P-22（E）,,埋土,,,SH,22 ,25 ,3 ,1 ,,,0 
15 ,RF,,,P-21（E）,,埋土,,,SH,61 ,27 ,12 ,16 ,,,0 
16 ,FL,,,P-22（E）,,埋土,,,SH,26 ,17 ,2 ,1 ,,,0 
17 ,CH,,,J-38（E）,,埋土,,,SH,16 ,15 ,2 ,0 ,,,0 
19 ,FL,,,F-29（E）,,埋土,,,SH,25 ,16 ,2 ,0 ,,,0 
20 ,CH,,3 ,M-38（E）,,,,,SH,10 ,14 ,3 ,0 ,,,0 
21 ,FL,6 ,3 ,M-38（E）,,,,,SH,,,,,3 ,,0 
22 ,FL,24 ,3 ,M-38（E）,,,,,SH,39 ,22 ,10 ,6 ,16 ,,0 
24 ,RF,,3 ,M-38（E）,,,,,SH,31 ,29 ,6 ,3 ,16 ,,1 
25 ,FL,26 ,3 ,M-38（E）,,,,,SH,33 ,26 ,9 ,7 ,16 ,,0 
26 ,CO,,,N-32（E）,,,,,SH,35 ,44 ,28 ,,12 ,,0 
27 ,RBL,,3 ,M-38（E）,,,,,SH,100 ,39 ,14 ,44 ,23 ,,1 
28 ,CH,,,M-42（E）,,,,,SH,20 ,14 ,2 ,0 ,,,0 
29 ,FL,,3 ,M-38（E）,,,,,SH,59 ,36 ,9 ,15 ,,,0 
30 ,CH,1 ,3 ,M-38（E）,,,,,SH,17 ,18 ,5 ,1 ,1 ,,0 
31 ,FL,26 ,3 ,M-38（E）,,,,,SH,32 ,18 ,8 ,4 ,16 ,,0 
32 ,CH,,3 ,M-38（E）,,,,,SH,12 ,12 ,2 ,0 ,16 ,,0 
33 ,CH,,3 ,M-38（E）,,,,,SH,9 ,8 ,4 ,0 ,,,0 
34 ,FL,,3 ,M-38（E）,,,,,SH,42 ,61 ,13 ,29 ,,,1 
35 ,FL,1 ,3 ,M-38（E）,,,,,SH,62 ,58 ,23 ,68 ,1 ,,1 
36 ,FL,,3 ,M-38（E）,,,,,SH,18 ,21 ,5 ,2 ,16 ,,0 
37 ,CH,,3 ,M-38（E）,,,,,SH,15 ,8 ,2 ,0 ,16 ,,0 
38 ,FL,1 ,3 ,M-38（E）,,,,,SH,26 ,30 ,6 ,3 ,1 ,,0 
39 ,FL,26 ,3 ,M-38（E）,,,,,SH,30 ,32 ,9 ,8 ,16 ,,0 
40 ,RF,,3 ,M-38（E）,,,,,SH,53 ,21 ,11 ,9 ,13 ,,0 
41 ,FL,5 ,3 ,M-38（E）,,,,,SH,,,,,3 ,,0 
42 ,FL,,3 ,M-38（E）,,,,,SH,30 ,55 ,14 ,25 ,,,0 
43 ,RF,,3 ,M-38（E）,,,,,SH,18 ,19 ,5 ,2 ,16 ,,0 
44 ,CO,10 ,3 ,M-38（E）,,,,,SH,67 ,47 ,11 ,38 ,4 ,,0 
45 ,RF,24 ,3 ,M-38（E）,,,,,SH,38 ,37 ,13 ,11 ,16 ,,1 
46 ,FL,1 ,3 ,M-38（E）,,,,,SH,24 ,35 ,10 ,6 ,1 ,,0 
47 ,FL,27 ,3 ,M-38（E）,,,,,SH,22 ,14 ,6 ,1 ,16 ,,0 
48 ,FL,4 ,3 ,M-38（E）,,,,,SH,,,,,3 ,,0 
49 ,CH,,3 ,M-38（E）,,,,,SH,13 ,10 ,6 ,1 ,,,0 
50 ,FL,1 ,3 ,M-38（E）,,,,,SH,63 ,53 ,22 ,52 ,1 ,,1 
51 ,FL,,3 ,M-38（E）,,,,,SH,27 ,22 ,5 ,1 ,,,0 
52 ,FL,5 ,3 ,M-38（E）,,,,,SH,,,,,3 ,,0 
53 ,RBL,,3 ,M-38（E）,,,,,SH,44 ,32 ,13 ,21 ,11 ,,0 
54 ,BL,,3 ,M-38（E）,,,,,SH,43 ,32 ,11 ,14 ,15 ,,0 
55 ,FL,3 ,3 ,M-38（E）,,,,,SH,23 ,31 ,5 ,2 ,3 ,,1 
56 ,CH,,3 ,M-38（E）,,,,,SH,14 ,6 ,2 ,0 ,,,0 
58 ,FL,22 ,3 ,M-38（E）,,,,,SH,46 ,32 ,8 ,8 ,13 ,,0 
59 ,RF,5 ,3 ,M-38（E）,,,,,SH,,,,,3 ,,0 
